Berries,RASPBERRIES
Berries,BLUEBERRIES
Berries,BOYSENBERRIES
Berries,STRAWBERRIES
Fruit Trees,PEACHES
Fruit Trees,APPLES
Fruit Trees,PEARS
Fruit Trees,CHERRIES
Fruit Trees,FIGS
Fruit Trees,DATES
Fruit Trees,OLIVE
Fruit Trees,KIWI FRUIT
Fruit Trees,APRICOTS
Fruit Trees,AVACADO
Fruit Trees,BANANAS
Fruit Trees,CITRUS
Fruit Trees,ORANGES
Fruit Trees,GRAPEFRUIT
Fruit Trees,MANDRIN ORANGES
Fruit Trees,TANGERINES
Fruit Trees,LEMONS
Fruit Trees,LIMES
Fruit Trees,Nectarines
Nut Trees,CASHEWS
Nut Trees,PECANS
Nut Trees,WALNUTS
Nut Trees,ALMONDS
Nut Trees,COCONUT
Legumes,PEANUTS
Legumes,SOYBEANS
Legumes,BROAD BEANS
Legumes,PINTO BEANS
GRAINS,CORN
GRAINS,WHEAT
GRAINS,RYE
GRAINS,RICE
GRAINS,BARLEY
Uncategorized,SUGAR CANE
Uncategorized,TEA
Uncategorized,COFFEE
Uncategorized,COTTON
Uncategorized,TABACCO
Uncategorized,SORGHUM
Uncategorized,SUGAR BEETS
Uncategorized, Cannabis / Marijanuna
Uncategorized,Alfalfa
FIELD VEGETABLES,POTATOES
FIELD VEGETABLES,PEAS
FIELD VEGETABLES,TOMATOS
FIELD VEGETABLES,LETTUCE
Grains,WHEAT
Grains,CORN
Grains,OATS
Grains,RYE
Grains,LENTILS
Grains,BARLEY
FRUIT (NON TREE),GRAPES
